,Unnamed: 0,Open,High,Low,Close,Volume,TradingDate,H-L,O-C,AR,ME_7,ME_14,ME_21,ME_28,RANK_7,RANK_14,RANK_21,RANK_28,VAR_7,VAR_14,VAR_21,VAR_28,SMA_7,SMA_14,SMA_21,SMA_28,SD_7,SD_14,SD_21,SD_28,Ske_7,Ske_14,Ske_21,Ske_28,Kur_7,Kur_14,Kur_21,Kur_28
27,27,11402.0,11490.0,11402.0,11432.0,684140,2009-08-24,88.0,-30.0,-2.933333333333333,11432.0,11519.0,11519.0,11490.0,3.5,3.5,5.5,11.5,7685.476190476084,9656.131868132125,32957.44761904661,173328.8677248677,11461.142857142857,11511.142857142857,11531.952380952382,11371.142857142857,87.66684772749664,98.26561895257224,181.54186189153896,416.3278368363899,0.7184903913022191,0.39165306279090417,-0.2445469161842867,-1.5897256983064385,0.15709552303025873,-0.2315494503024184,1.3058395008155264,2.1756344437802406
28,28,11402.0,11402.0,11315.0,11344.0,715430,2009-08-25,87.0,58.0,1.5,11432.0,11490.0,11519.0,11446.5,1.5,1.5,3.5,8.5,4779.95238095191,8527.917582417937,26026.5904761897,168553.7354497354,11423.57142857143,11486.07142857143,11504.095238095239,11357.57142857143,69.13719968983347,92.34672480612367,161.32758746162946,410.55296302637424,0.683499315814236,0.20690534698286114,-0.6811622819857817,-1.5762534763526794,1.2933354829863988,-0.22935843475176546,1.0398817339600477,2.21878559320732
29,29,11285.0,11344.0,11285.0,11285.0,635150,2009-08-26,59.0,0.0,inf,11432.0,11446.5,11519.0,11446.5,1.0,1.0,2.5,6.5,3698.8095238086075,10950.335164835607,27263.44761904697,166951.21164021158,11385.857142857143,11467.214285714286,11487.380952380952,11362.785714285714,60.81783886170741,104.64384914955875,165.11646683189102,408.5966368439804,-0.808663393567584,0.1240762323105568,-0.45577159566204,-1.6343526206418926,-1.0425930549008313,-0.1881240400783398,0.5096494022168797,2.418299356134191
30,30,11256.0,11285.0,11198.0,11227.0,609730,2009-08-27,87.0,29.0,3.0,11344.0,11432.0,11519.0,11446.5,1.0,1.0,2.0,5.0,6549.285714284456,14714.247252747788,28597.447619046994,144623.97222222225,11356.57142857143,11446.357142857143,11484.619047619048,11385.75,80.92765728899148,121.30229698050977,169.10779881202106,380.2945861069051,-0.5540345108253932,-0.016072750519481992,-0.4771045658675132,-1.8816851732131645,-0.9908494341019555,-0.23871370542157766,0.3443231136900941,4.028594512780321
31,31,11256.0,11285.0,11227.0,11285.0,928800,2009-08-28,58.0,-29.0,-2.0,11344.0,11432.0,11519.0,11446.5,2.5,2.5,2.5,6.0,5940.285714284227,12208.439560440214,22345.33333333263,91730.7566137568,11335.57142857143,11419.142857142857,11494.333333333334,11424.357142857143,77.07324901860714,110.49180766210776,149.4835553943397,302.8708579803557,0.13046373967737582,-0.12489662300677584,0.04969928047376735,-1.7713552483226482,-1.1023648619549788,-0.7157750671221271,-0.6231700079580079,5.2150268557027015
32,32,11490.0,11519.0,11256.0,11373.0,763090,2009-08-31,263.0,117.0,2.247863247863248,11344.0,11432.0,11461.0,11446.5,5.0,6.0,6.0,9.5,6141.904761903324,11488.065934066633,22316.3619047613,47694.395502645835,11339.714285714286,11408.714285714286,11483.190476190477,11460.892857142857,78.37030535798188,107.18239563504183,149.3866188946028,218.39046568622413,-0.07304426656977897,0.12513888341026386,0.24428713884167602,-0.522368170240157,-1.3717551626787894,-0.4236564113227026,-0.5641889369667037,1.4690113306629413
33,33,11285.0,11344.0,11256.0,11315.0,628060,2009-09-01,88.0,-30.0,-2.933333333333333,11315.0,11402.5,11432.0,11446.5,4.0,4.0,4.0,6.0,4498.33333333172,11836.219780220537,21143.790476190024,34235.062169312565,11323.0,11398.285714285714,11465.095238095239,11477.607142857143,67.06961557465287,108.79439222781906,145.40904537266596,185.0271930536497,0.33588233468762096,0.38893954852147183,0.42342954526235693,0.28559167902831906,0.05912668215144166,-0.4453797075193864,-0.2799767879897739,0.24697149211422934
34,34,11168.0,11344.0,11168.0,11198.0,659050,2009-09-03,176.0,-30.0,-5.866666666666666,11285.0,11358.5,11432.0,11446.5,1.0,1.0,1.0,2.0,3818.619047617112,13234.862637363567,18877.31428571404,36684.83068783107,11289.57142857143,11375.357142857143,11437.285714285714,11471.357142857143,61.79497590918789,115.04287304028689,137.39473893025905,191.5328449322232,-0.2518035618083253,0.4592168321952049,0.09856544144123632,0.2453392822823732,-0.8144551433824929,-0.03188077125133845,-0.6420691648146102,0.01590495478912929
35,35,11168.0,11285.0,10964.0,10964.0,683440,2009-09-04,321.0,204.0,1.5735294117647058,11285.0,11344.0,11432.0,11432.0,1.0,1.0,1.0,1.0,17552.90476190226,19852.10989011126,25484.16190476191,37229.87698412722,11235.285714285714,11329.42857142857,11402.47619047619,11436.892857142857,132.48737585861628,140.89751555691555,159.63759552424332,192.95045214802482,-1.670969888055447,-1.197725628006087,-0.874747258461242,-0.4339242665359654,3.431207854140683,2.686053029392568,1.50274261517269,0.06518408742288907
36,36,10584.0,10876.0,10525.0,10759.0,737000,2009-09-07,351.0,-175.0,-2.005714285714286,11227.0,11329.5,11432.0,11432.0,1.0,1.0,1.0,1.0,48361.47619047293,37744.30769230958,43627.828571428974,51764.17989417998,11160.142857142857,11273.0,11364.857142857143,11405.57142857143,219.91242845840463,194.2789429977155,208.87275689143613,227.51742767133243,-1.2382425361461975,-1.8106473701534764,-1.4214266194380172,-0.8987414082787012,0.6391452552395585,3.174017455722834,2.752814083471364,1.312203540480835
